# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              4.251846577656e-01  -3.987201323608e-01  -2.340436988831e+00  -9.654405837372e-02   1.060479890260e+00   1.001909461409e+00   0.000000000000e+00   8.245413563306e-02  -3.339392493139e-01  -3.339045820612e-01   1.994749246599e-01   8.380409861310e-02   0.000000000000e+00  -4.989991753814e+01   2.074370883659e-02  -3.963121209033e+00   3.008295430934e+05   4.228530614288e-02   2.282444667368e+00   5.265566810873e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.895726186146e-02   1.315382898580e-02  -2.386232705378e-01   5.597526527960e-01  -9.697411300894e-02   3.912358043325e-02   1.245312408203e+01
Horizon              wing_left              3.961569389212e-01  -3.452555817631e-01  -2.180979392040e+00  -8.381801436743e-02   1.069123386273e+00   1.017793699538e+00   0.000000000000e+00   7.682492154218e-02  -3.111409322458e-01  -3.111275477051e-01   1.343712287717e-01   8.307571181251e-02   0.000000000000e+00  -4.990273234508e+01   2.216610361857e-02  -3.958411313038e+00   3.080281773824e+05   4.262144415305e-02   2.318876510509e+00   5.219800918439e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.284764152921e-02   8.354288687484e-03  -1.619203220135e-01   3.538451253531e-01  -5.698075877830e-02   2.513607661050e-02   1.264031412672e+01
Horizon              wing_left              3.804472506864e-01  -3.180029065352e-01  -2.094652417860e+00  -7.730513454920e-02   1.073801212606e+00   1.026221549762e+00   0.000000000000e+00   7.377841282931e-02  -2.988025719587e-01  -2.987999619057e-01   4.739135282769e-02   8.273878766889e-02   0.000000000000e+00  -4.990441680538e+01   2.311356998751e-02  -3.957593746907e+00   3.118371652658e+05   4.279413147291e-02   2.337705144821e+00   5.198631350150e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.548857461325e-03   2.847766256732e-03  -5.734349486249e-02   1.203348371159e-01  -1.858704807525e-02   8.622677333090e-03   1.274472904531e+01
Horizon              wing_left              3.766538111805e-01  -3.115978053115e-01  -2.073803983160e+00  -7.577188336680e-02   1.076084627832e+00   1.029342879903e+00   0.000000000000e+00   7.304276828095e-02  -2.958232115378e-01  -2.958209736583e-01   4.170899136682e-02   8.251983971603e-02   0.000000000000e+00  -4.990477730635e+01   2.284270543405e-02  -3.950674855456e+00   3.130793638333e+05   4.283431743674e-02   2.342097665003e+00   5.184874444545e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.993510225840e-03   2.458759151217e-03  -5.043165562082e-02   1.047716731154e-01  -1.601698900073e-02   7.515613457828e-03   1.276127040001e+01
Horizon              wing_left              3.628005146622e-01  -2.887842198888e-01  -1.997657945120e+00  -7.030287444520e-02   1.080226600013e+00   1.036672157711e+00   0.000000000000e+00   7.035626120872e-02  -2.849428578953e-01  -2.849337673348e-01   1.205585183307e-01   8.226411592688e-02   0.000000000000e+00  -4.990580904586e+01   2.368180492987e-02  -3.950938363044e+00   3.163771838473e+05   4.297948370951e-02   2.357999387317e+00   5.168806844999e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.158695422804e-02   6.880443704991e-03  -1.463179960511e-01   2.927770222954e-01  -4.306892453361e-02   2.115980760555e-02   1.285576619804e+01
Horizon              wing_left              3.367648336385e-01  -2.483446001252e-01  -1.854511630400e+00  -6.057808685763e-02   1.088010961401e+00   1.050181266560e+00   0.000000000000e+00   6.530727946582e-02  -2.644944818366e-01  -2.644729344147e-01   1.860374026418e-01   8.185096820979e-02   0.000000000000e+00  -4.990795421409e+01   2.550694554799e-02  -3.953298807948e+00   3.224305637573e+05   4.323837946399e-02   2.386492735376e+00   5.142848008342e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.801793027417e-02   9.948391193426e-03  -2.274010465074e-01   4.223205400188e-01  -5.756531370808e-02   3.094383201637e-02   1.303600437227e+01
Horizon              wing_left              3.016870554867e-01  -1.988341552998e-01  -1.661577035977e+00  -4.861898864301e-02   1.098498803128e+00   1.067814140702e+00   0.000000000000e+00   5.850480476545e-02  -2.369444593001e-01  -2.369147143144e-01   2.304084671407e-01   8.148543373782e-02   0.000000000000e+00  -4.991099377819e+01   2.875327410543e-02  -3.962961168812e+00   3.302689341084e+05   4.355816041679e-02   2.421923155666e+00   5.119880800106e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.260309114361e-02   1.117881439656e-02  -2.845905538509e-01   4.734126315848e-01  -5.768526181286e-02   3.533404706852e-02   1.329334692550e+01
Horizon              wing_left              2.617980779447e-01  -1.493786471084e-01  -1.442086977711e+00  -3.661474965213e-02   1.110425136697e+00   1.087041250707e+00   0.000000000000e+00   5.076931595032e-02  -2.056157295988e-01  -2.055861199700e-01   2.478576424534e-01   8.141086072990e-02   0.000000000000e+00  -4.991487604147e+01   3.409126958818e-02  -3.986961270769e+00   3.387123984007e+05   4.388160887300e-02   2.458025498426e+00   5.115195239829e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.480599727248e-02   1.059508177596e-02  -3.104687994406e-01   4.481109489257e-01  -4.728567460982e-02   3.418972665408e-02   1.362077089240e+01
Horizon              wing_left              2.219091004027e-01  -1.071106659014e-01  -1.222510628582e+00  -2.630871577107e-02   1.122351470266e+00   1.105352679092e+00   0.000000000000e+00   4.303382713518e-02  -1.742869998975e-01  -1.742646292334e-01   2.354115280971e-01   8.185422242516e-02   0.000000000000e+00  -4.992030081995e+01   4.216714172157e-02  -4.032921608229e+00   3.466316826841e+05   4.416363990561e-02   2.489722933569e+00   5.143052476723e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.427056862532e-02   8.678271649041e-03  -3.003351581308e-01   3.673912371339e-01  -3.280762627256e-02   2.874149265098e-02   1.401517060345e+01
Horizon              wing_left              1.868313222509e-01  -7.581158039103e-02  -1.029357541871e+00  -1.864954810720e-02   1.132839311993e+00   1.120667251660e+00   0.000000000000e+00   3.623135243482e-02  -1.467369773610e-01  -1.467244612439e-01   1.937025367302e-01   8.294602769606e-02   0.000000000000e+00  -4.992920391127e+01   5.270833685228e-02  -4.105673205682e+00   3.531627050876e+05   4.438085110201e-02   2.514273699907e+00   5.211652625088e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.080162631893e-02   6.126804748739e-03  -2.528904899295e-01   2.604289952162e-01  -1.955996863816e-02   2.094782818382e-02   1.446970011335e+01
Horizon              wing_left              1.607956412273e-01  -5.610193190049e-02  -8.859627735931e-01  -1.381432918319e-02   1.140623673381e+00   1.131540582520e+00   0.000000000000e+00   3.118237069191e-02  -1.262886013022e-01  -1.262842701313e-01   1.272991241227e-01   8.457823607275e-02   0.000000000000e+00  -4.994238419259e+01   6.207130108644e-02  -4.199665892777e+00   3.577744296890e+05   4.452835348097e-02   2.531014146864e+00   5.314207301995e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.434872822916e-02   3.531406420446e-03  -1.705827361497e-01   1.511787380570e-01  -9.768239101985e-03   1.251432033692e-02   1.494709142441e+01
Horizon              wing_left              1.469423447090e-01  -4.683082722633e-02  -8.096545728582e-01  -1.153668381681e-02   1.144765645562e+00   1.137150698807e+00   0.000000000000e+00   2.849586361969e-02  -1.154082476597e-01  -1.154067408351e-01   4.437106449889e-02   8.625165860449e-02   0.000000000000e+00  -4.995343005759e+01   6.627998491373e-02  -4.289834378734e+00   3.601710944886e+05   4.460548911945e-02   2.539790599385e+00   5.419351540636e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.226053391867e-03   1.141357757258e-03  -6.083769683667e-02   4.927068692954e-02  -2.909370994998e-03   4.177847298793e-03   1.534492616254e+01
