# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   
V0                   main_wing_left         5.975451610081e-01  -5.827540519544e-01  -2.384835011901e+00  -1.383312468978e-01   7.379530124112e-01   0.000000000000e+00   1.158792276550e-01  -4.693108720028e-01  -4.692403732190e-01   1.274350412023e-01   1.685784975935e+01   0.000000000000e+00  -6.759975193831e+01   4.756238242079e-01  -1.811211030666e+01   2.920926094071e+05   5.574287080876e-02   3.966431536863e+00   1.236300000000e+00   1.801151131317e-02   2.684926516760e-02   0.000000000000e+00   1.449355728023e-01  -1.213880483337e-02  -6.075778851067e-01   1.474411177273e+00   2.544781405631e+00   3.009598846152e-01
V0                   main_wing_left         5.587686987289e-01  -5.070394441155e-01  -2.230703403518e+00  -1.209773320066e-01   7.869599556511e-01   0.000000000000e+00   1.083594838878e-01  -4.388559097457e-01  -4.387891684968e-01   1.355699716150e-01   1.627819619969e+01   0.000000000000e+00  -6.768743303952e+01   4.658163990208e-01  -1.776358645631e+01   3.162688452591e+05   5.659802178069e-02   4.089063015068e+00   1.236300000000e+00   1.713561611351e-02   2.684926516760e-02   0.000000000000e+00   1.528606787817e-01  -9.683544291944e-03  -6.546433681971e-01   1.481707975646e+00   2.788524844085e+00   3.048232297685e-01
V0                   main_wing_left         5.196299078795e-01  -4.364638804607e-01  -2.075003700296e+00  -1.046370767902e-01   8.367841882381e-01   0.000000000000e+00   1.007694753815e-01  -4.081163752950e-01  -4.080542690469e-01   1.430519920750e-01   1.573651516893e+01   0.000000000000e+00  -6.777384278715e+01   4.558421402923e-01  -1.742412353909e+01   3.411200721406e+05   5.741049383002e-02   4.207303722644e+00   1.236300000000e+00   1.633750470555e-02   2.684926516760e-02   0.000000000000e+00   1.595759082167e-01  -7.224347669444e-03  -6.982461266243e-01   1.466058715700e+00   3.020207591373e+00   3.038928129565e-01
V0                   main_wing_left         4.803700921205e-01  -3.714100491114e-01  -1.918702460247e+00  -8.943400571977e-02   8.870050314394e-01   0.000000000000e+00   9.315599706234e-02  -3.772817881025e-01  -3.772249908190e-01   1.497135287101e-01   1.523656595897e+01   0.000000000000e+00  -6.785823200801e+01   4.465876019860e-01  -1.709915717690e+01   3.663991371126e+05   5.817358545767e-02   4.319892734102e+00   1.236300000000e+00   1.561776111362e-02   2.684926516760e-02   0.000000000000e+00   1.649741156392e-01  -4.890216359456e-03  -7.373382202039e-01   1.427816314688e+00   3.233673603870e+00   2.981079175034e-01
V0                   main_wing_left         4.412313012711e-01  -3.121349094837e-01  -1.762772332076e+00  -7.546272615317e-02   9.371914828678e-01   0.000000000000e+00   8.556598855599e-02  -3.465422536518e-01  -3.464912279673e-01   1.553905523801e-01   1.478118860867e+01   0.000000000000e+00  -6.794008547690e+01   4.390789768799e-01  -1.679376353222e+01   3.918445851887e+05   5.888205920009e-02   4.425754082025e+00   1.236300000000e+00   1.497573720089e-02   2.684926516760e-02   0.000000000000e+00   1.689954619277e-01  -2.790704240801e-03  -7.709680675828e-01   1.368311228598e+00   3.423144475787e+00   2.876311418105e-01
V0                   main_wing_left         4.024548389919e-01  -2.587747292905e-01  -1.608185560647e+00  -6.278829662689e-02   9.869117578874e-01   0.000000000000e+00   7.804624478881e-02  -3.160872913947e-01  -3.160422900602e-01   1.599266176181e-01   1.437257707595e+01   0.000000000000e+00  -6.801926384848e+01   4.345013245313e-01  -1.651282430859e+01   4.171903222872e+05   5.953239781933e-02   4.524056810444e+00   1.236300000000e+00   1.441003042724e-02   2.684926516760e-02   0.000000000000e+00   1.716287068212e-01  -1.008604374026e-03  -7.983228033907e-01   1.289776746646e+00   3.583519568934e+00   2.728440254471e-01
V0                   main_wing_left         3.642797750675e-01  -2.113516769463e-01  -1.455907455618e+00  -5.144632480635e-02   1.035742843492e+00   0.000000000000e+00   7.064312748168e-02  -2.861046663008e-01  -2.860657419898e-01   1.631768175418e-01   1.401261321256e+01   0.000000000000e+00  -6.809621593002e+01   4.342404355297e-01  -1.626131172064e+01   4.421766875332e+05   6.012310118887e-02   4.614281087310e+00   1.236300000000e+00   1.391896279734e-02   2.684926516760e-02   0.000000000000e+00   1.729119410839e-01   4.040362259955e-04  -8.187679450762e-01   1.195219122922e+00   3.710657919718e+00   2.543266213139e-01
V0                   main_wing_left         3.269414714613e-01  -1.697818019165e-01  -1.306889891695e+00  -4.144378304947e-02   1.083279595886e+00   0.000000000000e+00   6.340227931460e-02  -2.567792312241e-01  -2.567462535989e-01   1.650115567159e-01   1.370329894616e+01   0.000000000000e+00  -6.817235038063e+01   4.399258181458e-01  -1.604476480946e+01   4.665631723337e+05   6.065510587201e-02   4.696302138896e+00   1.236300000000e+00   1.350110374313e-02   2.684926516760e-02   0.000000000000e+00   1.729346864356e-01   1.426490768482e-03  -8.318868883429e-01   1.088246508483e+00   3.801646474655e+00   2.328233451718e-01
V0                   main_wing_left         2.906701312313e-01  -1.338842762091e-01  -1.162064907816e+00  -3.276051124923e-02   1.129142940707e+00   0.000000000000e+00   5.636834252433e-02  -2.282917872235e-01  -2.282644660231e-01   1.653200478053e-01   1.344739479426e+01   0.000000000000e+00  -6.825076137639e+01   4.533566304780e-01  -1.587013861250e+01   4.901439951574e+05   6.113251113390e-02   4.770520546773e+00   1.236300000000e+00   1.315594934636e-02   2.684926516760e-02   0.000000000000e+00   1.718452982707e-01   2.066701530164e-03  -8.375286483031e-01   9.728760838592e-01   3.855091078306e+00   2.091994261924e-01
V0                   main_wing_left         2.556893792515e-01  -1.033917970155e-01  -1.022338469621e+00  -2.535135918017e-02   1.172986790703e+00   0.000000000000e+00   4.958468367022e-02  -2.008179688644e-01  -2.007958816664e-01   1.640134440340e-01   1.324965239889e+01   0.000000000000e+00  -6.833761788303e+01   4.757542263806e-01  -1.574758470412e+01   5.127691754085e+05   6.156391949989e-02   4.838088659883e+00   1.236300000000e+00   1.288513951522e-02   2.684926516760e-02   0.000000000000e+00   1.698751103599e-01   2.355239728091e-03  -8.358892529019e-01   8.533493419374e-01   3.871557629622e+00   1.843951131491e-01
