# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              8.394003727665e-01  -1.650011678655e+00  -4.605333427948e+00  -3.756605305010e-01   9.351441900566e-01   7.392138678207e-01   0.000000000000e+00   1.627811138583e-01  -6.592635111259e-01  -6.592021358468e-01   1.485679951878e-01   1.029327523535e-01   0.000000000000e+00  -4.985835965692e+01   2.795499846299e-02  -4.080235784259e+00   1.844468531361e+05   3.513974594465e-02   1.576226170816e+00   6.467455572149e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.230065893182e-02   1.500467504554e-02  -1.502048542724e-01   6.973801006084e-01  -2.524606358000e-01   3.189074670491e-02   9.378043932091e+00
Horizon              wing_left              8.095469746549e-01  -1.525575103656e+00  -4.442917037061e+00  -3.494687838119e-01   9.442007112301e-01   7.597290072781e-01   0.000000000000e+00   1.569917795254e-01  -6.358167070779e-01  -6.357499793054e-01   1.604239205871e-01   1.017341027841e-01   0.000000000000e+00  -4.986226354785e+01   2.814836702296e-02  -4.104320021346e+00   1.930978241406e+05   3.579448715845e-02   1.635511448232e+00   6.392142198520e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.370407884383e-02   1.609152576453e-02  -1.663767535833e-01   7.448215990048e-01  -2.586093808606e-01   3.633725428629e-02   9.703577614126e+00
Horizon              wing_left              7.777851165098e-01  -1.399722575714e+00  -4.269954368473e+00  -3.226355236377e-01   9.538361952619e-01   7.813724565564e-01   0.000000000000e+00   1.508323461789e-01  -6.108710020247e-01  -6.108001877937e-01   1.715852778272e-01   1.000763974940e-01   0.000000000000e+00  -4.986574106647e+01   2.715147947394e-02  -4.109995721596e+00   2.023349930550e+05   3.646786794747e-02   1.697626111216e+00   6.287985503300e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.498958779147e-02   1.700285349115e-02  -1.817532916032e-01   7.815639860047e-01  -2.592403589735e-01   4.020557798867e-02   1.000209640096e+01
Horizon              wing_left              7.443106207485e-01  -1.274124279834e+00  -4.087490138718e+00  -2.955090129875e-01   9.639912361890e-01   8.039536515479e-01   0.000000000000e+00   1.443407887736e-01  -5.845801945331e-01  -5.845066739133e-01   1.819685672959e-01   9.818097640608e-02   0.000000000000e+00  -4.986916519888e+01   2.565281206741e-02  -4.104439992902e+00   2.120873047611e+05   3.715190896525e-02   1.761909378320e+00   6.168892683993e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.616725008383e-02   1.772015500746e-02  -1.963222010383e-01   8.077015262717e-01  -2.549164511283e-01   4.350579555044e-02   1.028562608466e+01
Horizon              wing_left              7.093298687687e-01  -1.150323938452e+00  -3.896631617847e+00  -2.684281300136e-01   9.746032248070e-01   8.272706634436e-01   0.000000000000e+00   1.375571299195e-01  -5.571063761739e-01  -5.570315765868e-01   1.914881965148e-01   9.618064852239e-02   0.000000000000e+00  -4.987264403616e+01   2.401523794149e-02  -4.091797995289e+00   2.222708373196e+05   3.783836260887e-02   1.827620282088e+00   6.043208376309e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.723818862420e-02   1.822543791589e-02  -2.099997013157e-01   8.231836961034e-01  -2.461948982285e-01   4.620571330402e-02   1.055988405429e+01
Horizon              wing_left              6.730585285387e-01  -1.029718073771e+00  -3.698542270926e+00  -2.417160333565e-01   9.856067346773e-01   8.511128880483e-01   0.000000000000e+00   1.305231931292e-01  -5.286189321733e-01  -5.285442656345e-01   2.000575391188e-01   9.416281110377e-02   0.000000000000e+00  -4.987620255267e+01   2.245373625815e-02  -4.074754501894e+00   2.327906938911e+05   3.851908134019e-02   1.893970198907e+00   5.916423912100e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.819968276584e-02   1.850422456623e-02  -2.226675434369e-01   8.280180895271e-01  -2.336839490456e-01   4.825816154994e-02   1.082764884252e+01
Horizon              wing_left              6.357202249325e-01  -9.135409469676e-01  -3.494434854727e+00  -2.156742919579e-01   9.969339255026e-01   8.752642224711e-01   0.000000000000e+00   1.232823449621e-01  -4.992934970966e-01  -4.992203039824e-01   2.075901567814e-01   9.218868821953e-02   0.000000000000e+00  -4.987984520173e+01   2.110251201015e-02  -4.055225144670e+00   2.435429039155e+05   3.918625646840e-02   1.960147949311e+00   5.792386113091e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.904764828332e-02   1.854740563657e-02  -2.341922623525e-01   8.223698028503e-01  -2.180523091790e-01   4.961695155280e-02   1.109027574399e+01
Horizon              wing_left              5.975451610081e-01  -8.028545913327e-01  -3.285564008444e+00  -1.905776138737e-01   1.008514961385e+00   8.995066521922e-01   0.000000000000e+00   1.158792276550e-01  -4.693108720028e-01  -4.692403732190e-01   2.140011596141e-01   9.030302935304e-02   0.000000000000e+00  -4.988356942858e+01   2.005102910155e-02  -4.034692721080e+00   2.544166838164e+05   3.983260237501e-02   2.025343364537e+00   5.673906672248e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.977799340276e-02   1.835242978885e-02  -2.444371827396e-01   8.066115722125e-01  -2.000167572448e-01   5.024753076526e-02   1.134846625223e+01
Horizon              wing_left              5.587686987289e-01  -6.985433122768e-01  -3.073218390177e+00  -1.666692940580e-01   1.020278441386e+00   9.236241393246e-01   0.000000000000e+00   1.083594838878e-01  -4.388559097457e-01  -4.387891684968e-01   2.192086762776e-01   8.853954747634e-02   0.000000000000e+00  -4.988736043515e+01   1.936686286385e-02  -4.014384852418e+00   2.652971091457e+05   4.045150793642e-02   2.088770527123e+00   5.563103838076e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.038740674696e-02   1.792395830556e-02  -2.532708784183e-01   7.813440947288e-01  -1.803186330037e-01   5.013429213889e-02   1.160269995734e+01
Horizon              wing_left              5.196299078795e-01  -6.013120444270e-01  -2.858712422896e+00  -1.441574833207e-01   1.032151839741e+00   9.474066752046e-01   0.000000000000e+00   1.007694753815e-01  -4.081163752950e-01  -4.080542690469e-01   2.231354014299e-01   8.692434036219e-02   0.000000000000e+00  -4.989118542279e+01   1.910887716933e-02  -3.995378600900e+00   2.760681587156e+05   4.103716507583e-02   2.149690820626e+00   5.461617382000e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.087384160376e-02   1.727403342126e-02  -2.605737074133e-01   7.473954756473e-01  -1.596952292015e-01   4.928522595419e-02   1.185350833963e+01
Horizon              wing_left              4.803700921205e-01  -5.116880134873e-01  -2.643377724179e+00  -1.232123601245e-01   1.044061953001e+00   9.706543395180e-01   0.000000000000e+00   9.315599706234e-02  -3.772817881025e-01  -3.772249908190e-01   2.257101852950e-01   8.547835589003e-02   0.000000000000e+00  -4.989499476724e+01   1.933338376325e-02  -3.978673495189e+00   2.866160271844e+05   4.158467813171e-02   2.207435325064e+00   5.370763498101e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.123684961395e-02   1.642179753255e-02  -2.662432624159e-01   7.058048775142e-01  -1.388501284125e-01   4.773417824391e-02   1.210168177363e+01
Horizon              wing_left              4.412313012711e-01  -4.300252299470e-01  -2.428554302686e+00  -1.039642641066e-01   1.055935351356e+00   9.931811958793e-01   0.000000000000e+00   8.556598855599e-02  -3.465422536518e-01  -3.464912279673e-01   2.268696281488e-01   8.421946442163e-02   0.000000000000e+00  -4.989872978514e+01   2.009757747177e-02  -3.965255446605e+00   2.968325487749e+05   4.209015312999e-02   2.261425635442e+00   5.291665014325e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.147786796017e-02   1.539280784795e-02  -2.701992307897e-01   6.577938064573e-01  -1.184254170889e-01   4.554087291286e-02   1.234846507576e+01
Horizon              wing_left              4.024548389919e-01  -3.565114285092e-01  -2.215581610716e+00  -8.650282578010e-02   1.067698831357e+00   1.014818851424e+00   0.000000000000e+00   7.804624478881e-02  -3.160872913947e-01  -3.160422900602e-01   2.265596414310e-01   8.316448983729e-02   0.000000000000e+00  -4.990233497065e+01   2.146487487033e-02  -3.956166288172e+00   3.066185488721e+05   4.255076483062e-02   2.311192081763e+00   5.225379006247e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.160054030841e-02   1.421800383539e-02  -2.723879968256e-01   6.047277342553e-01  -9.897794163211e-02   4.278887903093e-02   1.259578388259e+01
Horizon              wing_left              3.642797750675e-01  -2.911771503830e-01  -2.005789545999e+00  -7.087710147952e-02   1.079279867240e+00   1.035419516110e+00   0.000000000000e+00   7.064312748168e-02  -2.861046663008e-01  -2.860657419898e-01   2.247369370426e-01   8.233148606818e-02   0.000000000000e+00  -4.990577538807e+01   2.351614572118e-02  -3.952592038995e+00   3.158869507859e+05   4.296480174036e-02   2.356388657820e+00   5.173039835818e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.161114457143e-02   1.293239789469e-02  -2.727872737865e-01   5.480704729206e-01  -8.096115632877e-02   3.958178909187e-02   1.284654504350e+01
Horizon              wing_left              3.269414714613e-01  -2.339067377331e-01  -1.800489497062e+00  -5.709669695454e-02   1.090607058065e+00   1.054858415821e+00   0.000000000000e+00   6.340227931460e-02  -2.567792312241e-01  -2.567462535989e-01   2.213704071873e-01   8.174260351914e-02   0.000000000000e+00  -4.990906492233e+01   2.637027929102e-02  -3.955986863788e+00   3.245655112847e+05   4.333169425597e-02   2.396804656420e+00   5.136039254021e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.151922157545e-02   1.157357119917e-02  -2.714111713086e-01   4.893337760138e-01  -6.471357813810e-02   3.603799614842e-02   1.310507122943e+01
