# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   
Horizon              winglet_left           8.394003727665e-01  -2.344344605440e+00  -5.288853462179e+00  -7.014382715470e-01   2.432201882732e-01   0.000000000000e+00   1.126802441270e+00  -7.727846981703e-01  -7.729394388451e-01   5.397807642286e-03   8.851687760351e+00   0.000000000000e+00  -5.010924979416e+01   2.622210791242e+00  -6.332228717472e+00   5.113920327966e+04   2.961091381858e-02   1.119244374066e+00   9.706961830736e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.462491600369e-04   4.961138462979e-03  -3.059572014768e-03   1.966156043147e-02  -7.625995041582e-03  -8.212701085036e-03
Horizon              winglet_left           8.095469746549e-01  -2.328340550680e+00  -5.281536529748e+00  -6.867043547959e-01   2.584848677387e-01   0.000000000000e+00   1.092934835423e+00  -7.704400177655e-01  -7.706170182142e-01   6.121100618985e-03   8.883418407240e+00   0.000000000000e+00  -5.013449777663e+01   2.509227427665e+00  -6.326011068567e+00   5.468035051147e+04   2.979158702688e-02   1.132944349400e+00   9.741758378757e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.488094601248e-04   5.591783367669e-03  -3.716422523327e-03   2.346832330658e-02  -9.167307981703e-03  -9.064711448095e-03
Horizon              winglet_left           7.777851165098e-01  -2.311395627692e+00  -5.273208888248e+00  -6.713102229390e-01   2.747973005577e-01   0.000000000000e+00   1.056902150346e+00  -7.679454472602e-01  -7.681438696042e-01   6.873343856345e-03   8.870240148639e+00   0.000000000000e+00  -5.016082586982e+01   2.370178940160e+00  -6.303237280986e+00   5.850060361320e+04   2.998094777994e-02   1.147392522797e+00   9.727306801081e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.510750368453e-04   6.195476674000e-03  -4.443151533081e-03   2.758875298331e-02  -1.084121639946e-02  -9.832301246890e-03
Horizon              winglet_left           7.443106207485e-01  -2.293628335280e+00  -5.263838048974e+00  -6.554219222250e-01   2.920693635913e-01   0.000000000000e+00   1.018926539525e+00  -7.653163665110e-01  -7.655348424050e-01   7.646573866738e-03   8.823594487770e+00   0.000000000000e+00  -5.018857762326e+01   2.214200601533e+00  -6.264295905671e+00   6.258942603070e+04   3.017952760236e-02   1.162642446708e+00   9.676154109991e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.517648331188e-04   6.758069726918e-03  -5.236662131787e-03   3.199432842986e-02  -1.263476418418e-02  -1.049056427521e-02
Horizon              winglet_left           7.093298687687e-01  -2.275161200106e+00  -5.253408446496e+00  -6.392114458803e-01   3.102061534129e-01   0.000000000000e+00   9.792421352284e-01  -7.625689846751e-01  -7.628056491231e-01   8.431137559250e-03   8.751944765565e+00   0.000000000000e+00  -5.021783099097e+01   2.048690366940e+00  -6.209836592216e+00   6.693359386980e+04   3.038723669553e-02   1.178701176173e+00   9.597581397368e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.049509532058e-03   7.264665499411e-03  -6.090505203317e-03   3.663956881625e-02  -1.452773963308e-02  -1.101478283562e-02
Horizon              winglet_left           6.730585285387e-01  -2.256119701939e+00  -5.241923782547e+00  -6.228536640846e-01   3.291062840389e-01   0.000000000000e+00   9.380936050053e-01  -7.597202402750e-01  -7.599727778957e-01   9.215872060546e-03   8.661581713080e+00   0.000000000000e+00  -5.024839495813e+01   1.879647761885e+00  -6.140828583088e+00   7.151689601671e+04   3.060341946333e-02   1.195532011775e+00   9.498487221757e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.142836761652e-03   7.700242181250e-03  -6.994490956559e-03   4.146071254893e-02  -1.649222891657e-02  -1.138200489435e-02
Horizon              winglet_left           6.357202249325e-01  -2.236631219590e+00  -5.229408755092e+00  -6.065229343917e-01   3.486622555705e-01   0.000000000000e+00   8.957346432279e-01  -7.567876967674e-01  -7.570533993647e-01   9.988329299331e-03   8.557241437449e+00   0.000000000000e+00  -5.027984270058e+01   1.711920939153e+00  -6.058582542295e+00   7.631990597832e+04   3.082693624557e-02   1.213059289419e+00   9.384065305804e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.230190704402e-03   8.050459355684e-03  -7.934536639990e-03   4.637572360437e-02  -1.849277123788e-02  -1.157273868693e-02
Horizon              winglet_left           5.975451610081e-01  -2.216824010500e+00  -5.215910083573e+00  -5.903895077352e-01   3.687608978199e-01   0.000000000000e+00   8.524264069812e-01  -7.537894342580e-01  -7.540652682551e-01   1.073504013438e-02   8.442558412894e+00   0.000000000000e+00  -5.031157058768e+01   1.549378099260e+00  -5.964735053768e+00   8.131984764240e+04   3.105626083133e-02   1.231174553093e+00   9.258301296484e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.309974722073e-03   8.302564394418e-03  -8.892779608663e-03   5.128568573758e-02  -2.048712268788e-02  -1.157261373619e-02
Horizon              winglet_left           5.587686987289e-01  -2.196826235364e+00  -5.201496772914e+00  -5.746158686865e-01   3.892838914747e-01   0.000000000000e+00   8.084359059432e-01  -7.507439380323e-01  -7.510266200594e-01   1.144181178378e-02   8.320388034046e+00   0.000000000000e+00  -5.034286952929e+01   1.395026440064e+00  -5.861200205621e+00   8.649056904805e+04   3.128958437595e-02   1.249743504596e+00   9.124326484399e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.380607801760e-03   8.446311243101e-03  -9.847971218356e-03   5.607757498418e-02  -2.242760068892e-02  -1.137385110538e-02
Horizon              winglet_left           5.196299078795e-01  -2.176765037427e+00  -5.186259595631e+00  -5.593531639827e-01   4.101083676889e-01   0.000000000000e+00   7.640343561811e-01  -7.476699845872e-01  -7.479560632990e-01   1.209405144265e-02   8.193032643622e+00   0.000000000000e+00  -5.037299344460e+01   1.251099827639e+00  -5.750096438377e+00   9.180262201932e+04   3.152491526146e-02   1.268612993326e+00   8.984665670862e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.440587283154e-03   8.474799978826e-03  -1.077614499895e-02   6.062829158701e-02  -2.426293272679e-02  -1.097638867249e-02
