# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              winglet_left           9.932146285882e-01  -2.428002904879e+00  -5.318417533765e+00  -7.807640600170e-01   2.338420676940e-01   1.654393564161e-01   0.000000000000e+00   1.301299179309e+00  -7.848652415730e-01  -7.848655514740e-01   1.661720606497e-04   6.142269374597e-02   0.000000000000e+00  -5.012759958235e+01   5.540424065433e-01  -5.365816537947e+00   3.364298604463e+04   2.863869184510e-02   1.046954124915e+00   3.859301668721e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.915983672313e-06   6.382056554557e-05  -2.065146309214e-05   1.596619072750e-04  -5.241850762864e-05  -1.394480998446e-04   1.020727258974e+00
Horizon              winglet_left           9.918643144748e-01  -2.427259650556e+00  -5.318218863355e+00  -7.800469454928e-01   2.347703800148e-01   1.661137070857e-01   0.000000000000e+00   1.299767296540e+00  -7.847591881505e-01  -7.847595593131e-01   1.825549061492e-04   6.655967882665e-02   0.000000000000e+00  -5.012907689542e+01   7.066923638226e-01  -5.404946469822e+00   3.380134497424e+04   2.865668725842e-02   1.048270266839e+00   4.182067960542e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.766411238896e-06   7.593122355470e-05  -2.500426294824e-05   1.922080618770e-04  -6.362981612851e-05  -1.642741958538e-04   1.111300450977e+00
Horizon              winglet_left           9.903926402016e-01  -2.426449775396e+00  -5.318001086556e+00  -7.792657275537e-01   2.357821248721e-01   1.668488216365e-01   0.000000000000e+00   1.298097735037e+00  -7.846436031234e-01  -7.846440408622e-01   1.990873216616e-04   7.153753924528e-02   0.000000000000e+00  -5.013073226336e+01   8.539509642535e-01  -5.442893811783e+00   3.397367298837e+04   2.867588508429e-02   1.049675261827e+00   4.494836154977e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.751208665333e-06   8.895113175628e-05  -2.980430454904e-05   2.278158923806e-04  -7.602110215621e-05  -1.905685208265e-04   1.200501661815e+00
Horizon              winglet_left           9.887999688824e-01  -2.425573525424e+00  -5.317763935550e+00  -7.784206909604e-01   2.368770526328e-01   1.676445589180e-01   0.000000000000e+00   1.296290906739e+00  -7.845185150105e-01  -7.845190245746e-01   2.157813094382e-04   7.635178196700e-02   0.000000000000e+00  -5.013257046974e+01   9.956726562250e-01  -5.479676177693e+00   3.415988219002e+04   2.869619895278e-02   1.051162959083e+00   4.797323946321e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.874370283863e-06   1.028441549919e-04  -3.505648199161e-05   2.664781138323e-04  -8.960480598867e-05  -2.182175451533e-04   1.288314172951e+00
Horizon              winglet_left           9.870866934849e-01  -2.424631166663e+00  -5.317507122241e+00  -7.775121444870e-01   2.380548931401e-01   1.685007659806e-01   0.000000000000e+00   1.294347257455e+00  -7.843839546754e-01  -7.843845412431e-01   2.326486239353e-04   8.099885678672e-02   0.000000000000e+00  -5.013459395952e+01   1.131739236477e+00  -5.515314627088e+00   3.435988225900e+04   2.871754170594e-02   1.052727142165e+00   5.089308268606e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.138674461234e-06   1.175740212784e-04  -4.076492959219e-05   3.081830328642e-04  -1.043903248852e-04  -2.471136840905e-04   1.374727998192e+00
Horizon              winglet_left           9.852532367343e-01  -2.423622985017e+00  -5.317230338729e+00  -7.765404209795e-01   2.393153557793e-01   1.694172780673e-01   0.000000000000e+00   1.292267266751e+00  -7.842399553190e-01  -7.842406239922e-01   2.497007532487e-04   8.547610064745e-02   0.000000000000e+00  -5.013680236589e+01   1.262058353016e+00  -5.549832875943e+00   3.457358079835e+04   2.873982603379e-02   1.054361573067e+00   5.370621797031e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.545744261233e-06   1.331044615786e-04  -4.693306976232e-05   3.529149370584e-04  -1.203841824796e-04  -2.771553418374e-04   1.459739183137e+00
Horizon              winglet_left           9.833000510085e-01  -2.422549286142e+00  -5.316933257835e+00  -7.755058774144e-01   2.406581295502e-01   1.703939186045e-01   0.000000000000e+00   1.290051447833e+00  -7.840865524708e-01  -7.840873082708e-01   2.669489008342e-04   8.978168595421e-02   0.000000000000e+00  -5.013919215814e+01   1.386562202602e+00  -5.583256462225e+00   3.480088379373e+04   2.876296518567e-02   1.056060042214e+00   5.641149700413e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.009611738574e-05   1.493993360612e-04  -5.356366830037e-05   4.006545125952e-04  -1.375902247759e-04  -3.082468726219e-04   1.543349247347e+00
Horizon              winglet_left           9.812276182268e-01  -2.421410395306e+00  -5.316615533649e+00  -7.744088949589e-01   2.420828831435e-01   1.714304991943e-01   0.000000000000e+00   1.287700347421e+00  -7.839237839807e-01  -7.839246318427e-01   2.844039675355e-04   9.391457184426e-02   0.000000000000e+00  -5.014175645149e+01   1.505206384638e+00  -5.615611888532e+00   3.504169620545e+04   2.878687376471e-02   1.057816425022e+00   5.900826579419e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.178932398201e-05   1.664227512824e-04  -6.065889716309e-05   4.513792938279e-04  -1.560098415157e-04  -3.402984769568e-04   1.625564747259e+00
Horizon              winglet_left           9.790364497312e-01  -2.420206657251e+00  -5.316276802116e+00  -7.732498790282e-01   2.435892650225e-01   1.725268196043e-01   0.000000000000e+00   1.285214545614e+00  -7.837516900095e-01  -7.837526347777e-01   3.020765339363e-04   9.787445737230e-02   0.000000000000e+00  -5.014448501730e+01   1.617968870096e+00  -5.646925770194e+00   3.529592270606e+04   2.881146860698e-02   1.059624745191e+00   6.149633525098e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.362397096977e-05   1.841391716568e-04  -6.822040457783e-05   5.050641464961e-04  -1.756422112239e-04  -3.732260482852e-04   1.706396937344e+00
Horizon              winglet_left           9.767270861595e-01  -2.418938436032e+00  -5.315916681657e+00  -7.720292593432e-01   2.451769035100e-01   1.736826677593e-01   0.000000000000e+00   1.282594655748e+00  -7.835703130187e-01  -7.835713594418e-01   3.199768430579e-04   1.016617356636e-01   0.000000000000e+00  -5.014736450464e+01   1.724849036556e+00  -5.677224037029e+00   3.556346853846e+04   2.883666971539e-02   1.061479242591e+00   6.387595238236e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.559783153372e-05   2.025135272636e-04  -7.624939198977e-05   5.616817833049e-04  -1.964845673344e-04  -4.069509820665e-04   1.785861506161e+00
