   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   6.900000000E+00   4.921216023E+01  -8.580401742E-02   9.917978266E+00   1.994866369E-03  -7.417389215E-02  -4.509748623E-05   3.782717582E+02  -2.056960745E+00  -1.005061909E+03   9.932966649E-01  -2.736147355E-03   1.153763942E-01  -6.522018372E-03
   7.000000000E+00   4.914614192E+01  -1.041980278E-01   9.903084425E+00   2.821754093E-03  -7.634011963E-02  -1.474988544E-04   3.832857526E+02  -2.129413348E+00  -1.005205431E+03   9.937243092E-01  -2.641358340E-03   1.116350253E-01  -6.530061434E-03
   7.100000000E+00   4.910468907E+01  -1.201332569E-01   9.892183416E+00   3.581216636E-03  -7.797832350E-02  -3.179087392E-04   3.882951442E+02  -2.203627908E+00  -1.005310767E+03   9.941481743E-01  -2.508413333E-03   1.077971529E-01  -6.548991611E-03
   7.200000000E+00   4.908811176E+01  -1.331605391E-01   9.885363866E+00   4.252371969E-03  -7.906928842E-02  -5.512929965E-04   3.933021572E+02  -2.279528703E+00  -1.005377302E+03   9.945643147E-01  -2.341328872E-03   1.038894845E-01  -6.581577778E-03
   7.300000000E+00   4.909654359E+01  -1.429103781E-01   9.882691328E+00   4.816810544E-03  -7.959887786E-02  -8.408520377E-04   3.983090226E+02  -2.357025900E+00  -1.005404641E+03   9.949691010E-01  -2.145042367E-03   9.993961742E-02  -6.630219226E-03
   7.400000000E+00   4.912993865E+01  -1.491021125E-01   9.884206982E+00   5.259053945E-03  -7.955845960E-02  -1.178220271E-03   4.033179672E+02  -2.436018641E+00  -1.005392605E+03   9.953592799E-01  -1.925274019E-03   9.597577331E-02  -6.696885059E-03
   7.500000000E+00   4.918807041E+01  -1.515509251E-01   9.889926327E+00   5.566940756E-03  -7.894522875E-02  -1.553706796E-03   4.083312034E+02  -2.516398386E+00  -1.005341239E+03   9.957320223E-01  -1.688369875E-03   9.202651322E-02  -6.783064584E-03
   7.600000000E+00   4.927053257E+01  -1.501725533E-01   9.899837934E+00   5.731931753E-03  -7.776240789E-02  -1.956570388E-03   4.133509190E+02  -2.598052442E+00  -1.005250810E+03   9.960849579E-01  -1.441129759E-03   8.812043679E-02  -6.889729808E-03
   7.700000000E+00   4.937674203E+01  -1.449855901E-01   9.913902333E+00   5.749328017E-03  -7.601930900E-02  -2.375320923E-03   4.183792667E+02  -2.680867591E+00  -1.005121809E+03   9.964161938E-01  -1.190624110E-03   8.428587362E-02  -7.017310886E-03
   7.800000000E+00   4.950594380E+01  -1.361113099E-01   9.932051096E+00   5.618397174E-03  -7.373124865E-02  -2.798038824E-03   4.234183543E+02  -2.764733748E+00  -1.004954953E+03   9.967243184E-01  -9.440039471E-04   8.055057382E-02  -7.165685068E-03
   7.900000000E+00   4.965721790E+01  -1.237709934E-01   9.954186209E+00   5.342404483E-03  -7.091931546E-02  -3.212703795E-03   4.284702340E+02  -2.849547561E+00  -1.004751181E+03   9.970083892E-01  -7.083083683E-04   7.694140564E-02  -7.334179393E-03
   8.000000000E+00   4.982948806E+01  -1.082807713E-01   9.980179799E+00   4.928547139E-03  -6.760999729E-02  -3.607524087E-03   4.335368927E+02  -2.935215883E+00  -1.004511653E+03   9.972679064E-01  -4.902740445E-04   7.348406785E-02  -7.521587070E-03
   8.100000000E+00   5.002153199E+01  -9.004405249E-02   1.000987428E+01   4.387791713E-03  -6.383468313E-02  -3.971257809E-03   4.386202415E+02  -3.021659036E+00  -1.004237748E+03   9.975027728E-01  -2.961512168E-04   7.020282375E-02  -7.726197191E-03
   8.200000000E+00   5.023199311E+01  -6.954165524E-02   1.004308295E+01   3.734616371E-03  -5.962906169E-02  -4.293518216E-03   4.437221059E+02  -3.108813784E+00  -1.003931055E+03   9.977132437E-01  -1.315306478E-04   6.712026320E-02  -7.945837136E-03
   8.300000000E+00   5.045939336E+01  -4.731980929E-02   1.007959110E+01   2.986661241E-03  -5.503244367E-02  -4.565055512E-03   4.488442158E+02  -3.196635955E+00  -1.003593373E+03   9.978998682E-01  -1.185869638E-06   6.425709712E-02  -8.177926775E-03
   8.400000000E+00   5.070214697E+01  -2.397625466E-02   1.011915756E+01   2.164292240E-03  -5.008703760E-02  -4.778008443E-03   4.539881950E+02  -3.285102621E+00  -1.003226698E+03   9.980634254E-01   9.106511467E-05   6.163198810E-02  -8.419543310E-03
   8.500000000E+00   5.095857469E+01  -1.447171883E-04   1.016151667E+01   1.290085735E-03  -4.483720979E-02  -4.926119678E-03   4.591555519E+02  -3.374213788E+00  -1.002833217E+03   9.982048580E-01   1.424747967E-04   5.926141857E-02  -8.667495399E-03
   8.600000000E+00   5.122691860E+01   2.352190275E-02   1.020638074E+01   3.882436447E-04  -3.932875726E-02  -5.004909812E-03   4.643476694E+02  -3.463993517E+00  -1.002415295E+03   9.983252073E-01   1.514542832E-04   5.715959687E-02  -8.918404980E-03
   8.700000000E+00   5.150535683E+01   4.636923865E-02   1.025344268E+01  -5.160490576E-04  -3.360821885E-02  -5.011805642E-03   4.695657953E+02  -3.554490433E+00  -1.001975464E+03   9.984255510E-01   1.176315368E-04   5.533839976E-02  -9.168795015E-03
   8.800000000E+00   5.179201839E+01   6.775962514E-02   1.030237901E+01  -1.397310074E-03  -2.772224448E-02  -4.946219211E-03   4.748110329E+02  -3.645777573E+00  -1.001516410E+03   9.985069463E-01   4.187729212E-05   5.380734908E-02  -9.415181206E-03
   8.900000000E+00   5.208499761E+01   8.709024467E-02   1.035285292E+01  -2.230472073E-03  -2.171703678E-02  -4.809575058E-03   4.800843327E+02  -3.737951538E+00  -1.001040955E+03   9.985703812E-01  -7.370308366E-05   5.257361903E-02  -9.654165547E-03
   9.000000000E+00   5.238236831E+01   1.038107430E-01   1.040451749E+01  -2.991602770E-03  -1.563787270E-02  -4.605284082E-03   4.853864832E+02  -3.831130949E+00  -1.000552044E+03   9.986167339E-01  -2.258126937E-04   5.164207029E-02  -9.882529432E-03
   9.100000000E+00   5.268219746E+01   1.174397855E-01   1.045701886E+01  -3.658612318E-03  -9.528707115E-03  -4.338663543E-03   4.907181037E+02  -3.925454182E+00  -1.000052723E+03   9.986467415E-01  -4.100411473E-04   5.101530666E-02  -1.009732391E-02
   9.200000000E+00   5.298255829E+01   1.275800250E-01   1.050999937E+01  -4.211926390E-03  -3.431855184E-03  -4.016803943E-03   4.960796368E+02  -4.021076436E+00  -9.995461242E+02   9.986609792E-01  -6.209764808E-04   5.069375021E-02  -1.029595457E-02
   9.300000000E+00   5.328154283E+01   1.339309666E-01   1.056310064E+01  -4.635102858E-03   2.612253591E-03  -3.648384875E-03   5.014713426E+02  -4.118166162E+00  -9.990354411E+02   9.986598479E-01  -8.523488349E-04   5.067573097E-02  -1.047625859E-02
   9.400000000E+00   5.357727386E+01   1.362992544E-01   1.061596642E+01  -4.915370386E-03   8.565259356E-03  -3.243443357E-03   5.068932932E+02  -4.216900919E+00  -9.985239112E+02   9.986435719E-01  -1.097202661E-03   5.095758777E-02  -1.063657136E-02
   9.500000000E+00   5.386791619E+01   1.346059591E-01   1.066824541E+01  -5.044068496E-03   1.439100482E-02  -2.813099701E-03   5.123453691E+02  -4.317462770E+00  -9.980147926E+02   9.986122045E-01  -1.348093153E-03   5.153377734E-02  -1.077578039E-02
   9.600000000E+00   5.415168736E+01   1.288905249E-01   1.071959381E+01  -5.016970922E-03   2.005562796E-02  -2.369247447E-03   5.178272561E+02  -4.420033309E+00  -9.975113414E+02   9.985656407E-01  -1.597301594E-03   5.239698931E-02  -1.089336437E-02
   9.700000000E+00   5.442686770E+01   1.193111291E-01   1.076967774E+01  -4.834477187E-03   2.552762441E-02  -1.924215361E-03   5.233384439E+02  -4.524788483E+00  -9.970167892E+02   9.985036365E-01  -1.837063425E-03   5.353826530E-02  -1.098941551E-02
   9.800000000E+00   5.469180969E+01   1.061413229E-01   1.081817550E+01  -4.501661334E-03   3.077788734E-02  -1.490410793E-03   5.288782269E+02  -4.631893334E+00  -9.965343199E+02   9.984258334E-01  -2.059802136E-03   5.494712086E-02  -1.106464381E-02
   9.900000000E+00   5.494494672E+01   8.976294622E-02   1.086477966E+01  -4.028171440E-03   3.577973075E-02  -1.079954748E-03   5.344457052E+02  -4.741496850E+00  -9.960670468E+02   9.983317867E-01  -2.258361569E-03   5.661166903E-02  -1.112036246E-02
   1.000000000E+01   5.518480104E+01   7.065544317E-02   1.090919891E+01  -3.427978817E-03   4.050889931E-02  -7.043198336E-04   5.400397889E+02  -4.853727086E+00  -9.956179896E+02   9.982209970E-01  -2.426229013E-03   5.851874504E-02  -1.115845406E-02
   1.010000000E+01   5.540999110E+01   4.938184380E-02   1.095115984E+01  -2.718981345E-03   4.494356607E-02  -3.739826256E-04   5.456592023E+02  -4.968686729E+00  -9.951900522E+02   9.980929439E-01  -2.557741468E-03   6.065403122E-02  -1.118131816E-02
   1.020000000E+01   5.561923799E+01   2.657180828E-02   1.099040848E+01  -1.922471097E-03   4.906431746E-02  -9.810198665E-05   5.513024918E+02  -5.086449275E+00  -9.947860011E+02   9.979471205E-01  -2.648267846E-03   6.300218162E-02  -1.119180130E-02
